diagnosis_date,count,case_count_7day_avg
19/05/2022,1,0
20/05/2022,0,0
21/05/2022,0,0
22/05/2022,0,0
23/05/2022,0,0
24/05/2022,0,0
25/05/2022,1,0
26/05/2022,0,0
27/05/2022,0,0
28/05/2022,2,0
29/05/2022,0,0
30/05/2022,0,0
31/05/2022,0,0
01/06/2022,2,1
02/06/2022,2,1
03/06/2022,0,1
04/06/2022,1,1
05/06/2022,0,1
06/06/2022,2,1
07/06/2022,0,1
08/06/2022,0,1
09/06/2022,2,1
10/06/2022,2,1
11/06/2022,0,1
12/06/2022,0,1
13/06/2022,4,1
14/06/2022,7,2
15/06/2022,1,2
16/06/2022,4,3
17/06/2022,3,3
18/06/2022,4,3
19/06/2022,0,3
20/06/2022,5,3
21/06/2022,5,3
22/06/2022,10,4
23/06/2022,7,5
24/06/2022,2,5
25/06/2022,5,5
26/06/2022,11,6
27/06/2022,17,8
28/06/2022,9,9
29/06/2022,12,9
30/06/2022,17,10
01/07/2022,21,13
02/07/2022,5,13
03/07/2022,9,13
04/07/2022,8,12
05/07/2022,53,18
06/07/2022,24,20
07/07/2022,64,26
08/07/2022,49,30
09/07/2022,21,33
10/07/2022,19,34
11/07/2022,65,42
12/07/2022,61,43
13/07/2022,65,49
14/07/2022,62,49
15/07/2022,58,50
16/07/2022,30,51
17/07/2022,33,53
18/07/2022,77,55
19/07/2022,86,59
20/07/2022,91,62
21/07/2022,72,64
22/07/2022,83,67
23/07/2022,37,68
24/07/2022,41,70
25/07/2022,97,72
26/07/2022,87,73
27/07/2022,76,70
28/07/2022,77,71
29/07/2022,71,69
30/07/2022,58,72
31/07/2022,41,72
01/08/2022,93,72
02/08/2022,82,71
03/08/2022,81,72
04/08/2022,75,72
05/08/2022,71,72
06/08/2022,36,68
07/08/2022,31,67
08/08/2022,83,66
09/08/2022,64,63
10/08/2022,69,61
11/08/2022,77,62
12/08/2022,60,60
13/08/2022,21,58
14/08/2022,25,57
15/08/2022,71,55
16/08/2022,52,54
17/08/2022,37,49
18/08/2022,51,45
19/08/2022,48,44
20/08/2022,22,44
21/08/2022,20,43
22/08/2022,37,38
23/08/2022,37,36
24/08/2022,28,35
25/08/2022,29,32
26/08/2022,36,30
27/08/2022,17,29
28/08/2022,17,29
29/08/2022,33,28
30/08/2022,34,28
31/08/2022,25,27
01/09/2022,20,26
02/09/2022,17,23
03/09/2022,14,23
04/09/2022,15,23
05/09/2022,13,20
06/09/2022,27,19
07/09/2022,19,18
08/09/2022,23,18
09/09/2022,17,18
10/09/2022,16,19
11/09/2022,7,17
12/09/2022,26,19
13/09/2022,11,17
14/09/2022,13,16
15/09/2022,11,14
16/09/2022,14,14
17/09/2022,9,13
18/09/2022,6,13
19/09/2022,16,11
20/09/2022,11,11
21/09/2022,8,11
22/09/2022,12,11
23/09/2022,7,10
24/09/2022,5,9
25/09/2022,3,9
26/09/2022,13,8
27/09/2022,8,8
28/09/2022,8,8
29/09/2022,4,7
30/09/2022,10,7
01/10/2022,5,7
02/10/2022,4,7
03/10/2022,4,6
04/10/2022,12,7
05/10/2022,4,6
06/10/2022,7,7
07/10/2022,3,6
08/10/2022,5,6
09/10/2022,1,5
10/10/2022,7,6
11/10/2022,6,5
12/10/2022,4,5
13/10/2022,6,5
14/10/2022,7,5
15/10/2022,5,5
16/10/2022,2,5
17/10/2022,5,5
18/10/2022,1,4
19/10/2022,4,4
20/10/2022,2,4
21/10/2022,7,4
22/10/2022,3,3
23/10/2022,3,4
24/10/2022,4,3
25/10/2022,4,4
26/10/2022,3,4
27/10/2022,1,4
28/10/2022,4,3
29/10/2022,3,3
30/10/2022,3,3
31/10/2022,3,3
01/11/2022,2,3
02/11/2022,2,3
03/11/2022,3,3
04/11/2022,4,3
05/11/2022,1,3
06/11/2022,1,2
07/11/2022,1,2
08/11/2022,3,2
09/11/2022,1,2
10/11/2022,1,2
11/11/2022,1,1
12/11/2022,0,1
13/11/2022,0,1
14/11/2022,1,1
15/11/2022,0,1
16/11/2022,1,1
17/11/2022,2,1
18/11/2022,5,1
19/11/2022,6,2
20/11/2022,0,2
21/11/2022,0,2
22/11/2022,0,2
23/11/2022,2,2
24/11/2022,1,2
25/11/2022,1,1
26/11/2022,1,1
27/11/2022,1,1
28/11/2022,1,1
29/11/2022,0,1
30/11/2022,2,1
01/12/2022,0,1
02/12/2022,0,1
03/12/2022,0,1
04/12/2022,1,1
05/12/2022,1,1
06/12/2022,2,1
07/12/2022,1,1
08/12/2022,1,1
09/12/2022,1,1
10/12/2022,0,1
11/12/2022,0,1
12/12/2022,0,1
13/12/2022,1,1
14/12/2022,0,0
15/12/2022,0,0
16/12/2022,1,0
17/12/2022,1,0
18/12/2022,2,1
19/12/2022,1,1
20/12/2022,0,1
21/12/2022,1,1
22/12/2022,3,1
23/12/2022,0,1
24/12/2022,0,1
25/12/2022,0,1
26/12/2022,1,1
27/12/2022,0,1
28/12/2022,1,1
29/12/2022,1,0
30/12/2022,1,1
31/12/2022,0,1
